case,MODEL_FRACTION,I_amp,dent_pole_h,dent_pole_w,dl_int,dl_ext,homogeneity_max_abs_dByBy0_40mm
case_0001,quarter,521.33,0.2,0.1,0.15,0.35,5.455677734800268e-05
case_0002,quarter,521.33,0.22222222222222224,0.12777777777777777,0.17777777777777776,0.3833333333333333,8.640368395618214e-05
case_0003,quarter,521.33,0.24444444444444446,0.15555555555555556,0.20555555555555555,0.41666666666666663,7.301509588741872e-05
case_0004,quarter,521.33,0.26666666666666666,0.18333333333333335,0.23333333333333334,0.44999999999999996,6.044547034833592e-05
case_0005,quarter,521.33,0.2888888888888889,0.2111111111111111,0.26111111111111107,0.4833333333333333,5.923244339989253e-05
case_0006,quarter,521.33,0.3111111111111111,0.2388888888888889,0.28888888888888886,0.5166666666666666,8.082284671440121e-05
case_0007,quarter,521.33,0.33333333333333337,0.26666666666666666,0.31666666666666665,0.5499999999999999,6.267668593484821e-05
case_0008,quarter,521.33,0.35555555555555557,0.29444444444444445,0.34444444444444444,0.5833333333333333,0.0001855035271449
case_0009,quarter,521.33,0.37777777777777777,0.3222222222222222,0.37222222222222223,0.6166666666666667,6.077791439440539e-05
case_0010,quarter,521.33,0.4,0.35,0.4,0.6499999999999999,6.560053561610601e-05
